language,package,module,source,line,local_version,status,lock_status
Python,pandas,pandas,data_prep/spatial/remote_h5_metadata.py,42,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,data_prep/spatial/spatial_preflight.py,5,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,h5py,h5py,data_prep/spatial/spatial_preflight.py,5,3.12.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,data_prep/spatial/spatial_preflight.py,5,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,h5py,h5py,analysis/spatial/xenium_spatial_followthrough.py,4,3.12.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,analysis/spatial/xenium_spatial_followthrough.py,4,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,analysis/spatial/xenium_spatial_followthrough.py,4,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy,analysis/spatial/xenium_spatial_followthrough.py,4,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy,analysis/spatial/xenium_spatial_followthrough.py,5,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
R,jsonlite,jsonlite,plotting/final_20260917/plot_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,cowplot,cowplot,plotting/final_20260917/theme_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,grDevices,grDevices,plotting/final_20260917/theme_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,ggplot2,ggplot2,plotting/final_20260917/theme_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,tidyr,tidyr,plotting/final_20260917/theme_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,ggrepel,ggrepel,plotting/final_20260917/theme_final.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
